AZ [deg], EL [deg], EL_scanoffset [arcsec], power [dBm], T_B [K]
258.009498,11.745531,-4320.000000,-20.666667,0.000000
258.010336,11.744481,-4320.000000,-20.666667,0.000000
258.011173,11.743432,-4320.000000,-20.000000,5.822220
258.012012,11.742381,-4320.000000,-20.030000,5.560220
258.012849,11.741332,-4320.000000,-20.033000,5.534020
258.014039,11.739841,-4320.000000,-20.240000,3.726221
258.014823,11.797893,-4105.945946,-20.110000,4.861554
258.015606,11.855949,-3891.891892,-20.040000,5.472887
258.016390,11.914009,-3677.837838,-20.580000,0.756889
258.017173,11.972072,-3463.783784,-20.001000,5.813487
258.017957,12.030139,-3249.729730,-19.998000,5.839687
258.018741,12.088209,-3035.675676,-19.680000,8.616886
258.019524,12.146283,-2821.621622,-19.650000,8.878886
258.020308,12.204361,-2607.567568,-19.550000,9.752219
258.021091,12.262441,-2393.513514,-19.533000,9.900685
258.021875,12.320526,-2179.459459,-19.455000,10.581885
258.022658,12.378613,-1965.405405,-19.433000,10.774018
258.023442,12.436704,-1751.351351,-19.333000,11.647351
258.024225,12.494798,-1537.297297,-19.233000,12.520684
258.025009,12.552895,-1323.243243,-19.133000,13.394017
258.025792,12.610996,-1109.189189,-19.033000,14.267350
258.026576,12.669099,-895.135135,-18.000000,23.288881
258.027359,12.727206,-681.081081,-17.000000,32.022211
258.028143,12.785315,-467.027027,-13.000000,66.955531
258.028926,12.843428,-252.972973,-10.043000,92.779989
258.029710,12.901544,-38.918919,-10.034000,92.858589
258.030493,12.959662,175.135135,-10.024000,92.945922
258.031277,13.017784,389.189189,-10.255000,90.928523
258.032060,13.075908,603.243243,-10.253000,90.945989
258.032844,13.134036,817.297297,-10.566000,88.212457
258.033627,13.192166,1031.351351,-14.063000,57.672001
258.034410,13.250298,1245.405405,-17.000000,32.022211
258.035194,13.308434,1459.459459,-18.300000,20.668881
258.035977,13.366572,1673.513514,-19.000000,14.555550
258.036761,13.424713,1887.567568,-20.400000,2.328888
258.037544,13.482856,2101.621622,-20.053000,5.359354
258.038328,13.541002,2315.675676,-20.067000,5.237087
258.039111,13.599151,2529.729730,-20.053000,5.359354
258.039894,13.657302,2743.783784,-20.043200,5.444940
258.040678,13.715456,2957.837838,-20.043200,5.444940
258.041461,13.773612,3171.891892,-20.043200,5.444940
258.042244,13.831771,3385.945946,-20.076740,5.152024
258.043028,13.889932,3600.000000,-20.063000,5.272020
258.043028,13.889932,3600.000000,-20.063000,5.272020
258.043864,13.888882,3600.000000,-20.063000,5.272020
258.044699,13.887833,3600.000000,-20.063000,5.272020
258.045535,13.886784,3600.000000,-20.063000,5.272020
258.046370,13.885734,3600.000000,-20.063000,5.272020
258.047206,13.884685,3600.000000,-20.063000,5.272020
