AZ [deg], EL [deg], EL_scanoffset [arcsec], power [dBm], T_B [K]
258.142620,11.578596,-4320.000000,-20.030000,10.590758
258.143457,11.577545,-4320.000000,-20.033000,10.565031
258.144293,11.576496,-4320.000000,-20.240000,8.789900
258.145130,11.575445,-4320.000000,-20.110000,9.904717
258.145967,11.574395,-4320.000000,-20.040000,10.505002
258.147153,11.572907,-4320.000000,-20.580000,5.874226
258.147935,11.630947,-4105.945946,-20.001000,10.839447
258.148718,11.688992,-3891.891892,-19.998000,10.865174
258.149500,11.747040,-3677.837838,-19.680000,13.592187
258.150282,11.805093,-3463.783784,-19.650000,13.849452
258.151065,11.863148,-3249.729730,-19.550000,14.707003
258.151847,11.921208,-3035.675676,-19.533000,14.852787
258.152630,11.979271,-2821.621622,-19.455000,15.521677
258.153412,12.037338,-2607.567568,-19.433000,15.710338
258.154194,12.095408,-2393.513514,-19.333000,16.567889
258.154977,12.153482,-2179.459459,-19.233000,17.425441
258.155759,12.211560,-1965.405405,-19.133000,18.282992
258.156541,12.269640,-1751.351351,-19.033000,19.140543
258.157324,12.327724,-1537.297297,-18.000000,27.999047
258.158106,12.385812,-1323.243243,-17.000000,36.574559
258.158889,12.443903,-1109.189189,-13.000000,70.876608
258.159671,12.501997,-895.135135,-10.040000,96.260124
258.160453,12.560094,-681.081081,-10.020000,96.431634
258.161236,12.618194,-467.027027,-10.024000,96.397332
258.162018,12.676298,-252.972973,-10.011000,96.508814
258.162800,12.734404,-38.918919,-10.329000,93.781801
258.163582,12.792514,175.135135,-10.647000,91.054788
258.164365,12.850626,389.189189,-14.000000,62.301096
258.165147,12.908742,603.243243,-17.000000,36.574559
258.165929,12.966860,817.297297,-18.300000,25.426394
258.166712,13.024982,1031.351351,-19.000000,19.423535
258.167494,13.083106,1245.405405,-20.400000,7.417818
258.168276,13.141233,1459.459459,-20.053000,10.393521
258.169058,13.199363,1673.513514,-20.067000,10.273464
258.169841,13.257495,1887.567568,-20.053000,10.393521
258.170623,13.315631,2101.621622,-20.043200,10.477561
258.171405,13.373769,2315.675676,-20.043200,10.477561
258.172187,13.431909,2529.729730,-20.043200,10.477561
258.172970,13.490053,2743.783784,-20.076740,10.189938
258.173752,13.548199,2957.837838,-20.063000,10.307766
258.174534,13.606347,3171.891892,-20.063000,10.307766
258.175316,13.664498,3385.945946,-20.063000,10.307766
258.176098,13.722652,3600.000000,-20.063000,10.307766
258.176099,13.722652,3600.000000,-20.063000,10.307766
258.176933,13.721602,3600.000000,-20.063000,10.307766
258.177767,13.720552,3600.000000,-20.063000,10.307766
258.178601,13.719502,3600.000000,-20.063000,10.307766
258.179436,13.718452,3600.000000,-20.063000,10.307766
258.180270,13.717403,3600.000000,-20.063000,10.307766
