[2024/10/07-14:02:54.308] AZcmd, AZreal, ELcmd, ELreal, 304.914279, 301.282716, 54.360455, 54.569432
[2024/10/07-14:02:54.628] AZcmd, AZreal, ELcmd, ELreal, 304.912268, 301.891493, 54.336247, 54.336193
[2024/10/07-14:02:54.947] AZcmd, AZreal, ELcmd, ELreal, 304.912195, 302.853611, 54.335362, 54.335372
[2024/10/07-14:02:55.269] AZcmd, AZreal, ELcmd, ELreal, 300.519626, 303.202726, 53.106566, 53.637598
[2024/10/07-14:02:55.590] AZcmd, AZreal, ELcmd, ELreal, 300.519684, 302.400875, 53.105632, 53.105503
[2024/10/07-14:02:55.908] AZcmd, AZreal, ELcmd, ELreal, 300.519741, 301.439882, 53.104699, 53.104652
[2024/10/07-14:02:56.231] AZcmd, AZreal, ELcmd, ELreal, 300.519798, 300.525348, 53.103775, 53.103770
[2024/10/07-14:02:56.551] AZcmd, AZreal, ELcmd, ELreal, 300.519857, 300.519176, 53.102836, 53.102797
[2024/10/07-14:02:56.870] AZcmd, AZreal, ELcmd, ELreal, 300.519914, 300.519814, 53.101904, 53.101885
[2024/10/07-14:02:57.188] AZcmd, AZreal, ELcmd, ELreal, 300.519972, 300.519966, 53.100978, 53.100912
[2024/10/07-14:02:57.508] AZcmd, AZreal, ELcmd, ELreal, 300.520029, 300.520027, 53.100053, 53.099970
[2024/10/07-14:02:57.828] AZcmd, AZreal, ELcmd, ELreal, 300.520087, 300.520088, 53.099124, 53.099088
[2024/10/07-14:02:58.150] AZcmd, AZreal, ELcmd, ELreal, 300.520145, 300.520149, 53.098194, 53.098145
[2024/10/07-14:02:58.468] AZcmd, AZreal, ELcmd, ELreal, 300.520203, 300.520209, 53.097258, 53.097172
[2024/10/07-14:02:58.787] AZcmd, AZreal, ELcmd, ELreal, 300.520260, 300.520270, 53.096334, 53.096260
[2024/10/07-14:02:59.108] AZcmd, AZreal, ELcmd, ELreal, 300.520318, 300.520331, 53.095406, 53.095348
[2024/10/07-14:02:59.430] AZcmd, AZreal, ELcmd, ELreal, 300.520376, 300.520361, 53.094473, 53.094436
[2024/10/07-14:02:59.750] AZcmd, AZreal, ELcmd, ELreal, 300.520434, 300.520453, 53.093538, 53.093493
[2024/10/07-14:03:00.067] AZcmd, AZreal, ELcmd, ELreal, 300.520492, 300.520514, 53.092608, 53.092551
[2024/10/07-14:03:00.387] AZcmd, AZreal, ELcmd, ELreal, 300.520549, 300.520574, 53.091685, 53.091639
[2024/10/07-14:03:00.710] AZcmd, AZreal, ELcmd, ELreal, 300.520607, 300.520635, 53.090757, 53.090726
[2024/10/07-14:03:01.027] AZcmd, AZreal, ELcmd, ELreal, 300.520665, 300.520696, 53.089818, 53.089753
[2024/10/07-14:03:01.351] AZcmd, AZreal, ELcmd, ELreal, 300.520723, 300.520696, 53.088895, 53.088811
[2024/10/07-14:03:01.667] AZcmd, AZreal, ELcmd, ELreal, 300.520782, 300.520787, 53.087955, 53.087899
[2024/10/07-14:03:01.989] AZcmd, AZreal, ELcmd, ELreal, 300.520839, 300.520878, 53.087036, 53.086956
[2024/10/07-14:03:02.311] AZcmd, AZreal, ELcmd, ELreal, 300.520897, 300.520909, 53.086102, 53.086014
[2024/10/07-14:03:02.627] AZcmd, AZreal, ELcmd, ELreal, 300.520956, 300.521000, 53.085166, 53.085101
[2024/10/07-14:03:02.949] AZcmd, AZreal, ELcmd, ELreal, 300.521013, 300.521030, 53.084246, 53.084159
[2024/10/07-14:03:03.268] AZcmd, AZreal, ELcmd, ELreal, 300.521071, 300.521091, 53.083310, 53.083247
[2024/10/07-14:03:03.588] AZcmd, AZreal, ELcmd, ELreal, 300.521129, 300.521152, 53.082382, 53.082304
[2024/10/07-14:03:03.912] AZcmd, AZreal, ELcmd, ELreal, 300.521187, 300.521243, 53.081454, 53.081392
[2024/10/07-14:03:04.229] AZcmd, AZreal, ELcmd, ELreal, 300.521246, 300.521274, 53.080511, 53.080449
[2024/10/07-14:03:04.550] AZcmd, AZreal, ELcmd, ELreal, 300.521304, 300.521304, 53.079591, 53.079507
[2024/10/07-14:03:04.869] AZcmd, AZreal, ELcmd, ELreal, 300.521362, 300.521365, 53.078659, 53.078595
[2024/10/07-14:03:05.188] AZcmd, AZreal, ELcmd, ELreal, 300.521421, 300.521426, 53.077730, 53.077652
[2024/10/07-14:03:05.510] AZcmd, AZreal, ELcmd, ELreal, 300.521479, 300.521517, 53.076804, 53.076740
[2024/10/07-14:03:05.829] AZcmd, AZreal, ELcmd, ELreal, 300.521537, 300.521547, 53.075868, 53.075797
[2024/10/07-14:03:06.148] AZcmd, AZreal, ELcmd, ELreal, 300.521595, 300.521639, 53.074940, 53.074885
[2024/10/07-14:03:06.468] AZcmd, AZreal, ELcmd, ELreal, 300.521654, 300.521669, 53.074013, 53.073973
[2024/10/07-14:03:06.788] AZcmd, AZreal, ELcmd, ELreal, 300.521712, 300.521760, 53.073084, 53.073030
[2024/10/07-14:03:07.109] AZcmd, AZreal, ELcmd, ELreal, 300.521770, 300.521791, 53.072154, 53.072118
[2024/10/07-14:03:07.429] AZcmd, AZreal, ELcmd, ELreal, 300.521829, 300.521851, 53.071219, 53.071145
[2024/10/07-14:03:07.750] AZcmd, AZreal, ELcmd, ELreal, 300.521887, 300.521912, 53.070291, 53.070233
[2024/10/07-14:03:08.067] AZcmd, AZreal, ELcmd, ELreal, 300.521946, 300.522003, 53.069358, 53.069291
[2024/10/07-14:03:08.387] AZcmd, AZreal, ELcmd, ELreal, 300.522004, 300.522034, 53.068435, 53.068348
[2024/10/07-14:03:08.711] AZcmd, AZreal, ELcmd, ELreal, 300.522062, 300.522064, 53.067505, 53.067436
[2024/10/07-14:03:09.029] AZcmd, AZreal, ELcmd, ELreal, 300.522122, 300.522155, 53.066564, 53.066493
[2024/10/07-14:03:09.347] AZcmd, AZreal, ELcmd, ELreal, 300.522180, 300.522186, 53.065641, 53.065551
[2024/10/07-14:03:09.668] AZcmd, AZreal, ELcmd, ELreal, 300.522238, 300.522277, 53.064716, 53.064639
[2024/10/07-14:03:09.988] AZcmd, AZreal, ELcmd, ELreal, 300.522297, 300.522307, 53.063784, 53.063696
[2024/10/07-14:03:10.309] AZcmd, AZreal, ELcmd, ELreal, 300.522355, 300.522368, 53.062853, 53.062784
[2024/10/07-14:03:10.629] AZcmd, AZreal, ELcmd, ELreal, 300.522414, 300.522429, 53.061921, 53.061841
[2024/10/07-14:03:10.947] AZcmd, AZreal, ELcmd, ELreal, 300.522473, 300.522490, 53.060990, 53.060929
[2024/10/07-14:03:11.267] AZcmd, AZreal, ELcmd, ELreal, 300.522531, 300.522551, 53.060067, 53.059986
[2024/10/07-14:03:11.590] AZcmd, AZreal, ELcmd, ELreal, 300.522590, 300.522611, 53.059135, 53.059044
[2024/10/07-14:03:11.912] AZcmd, AZreal, ELcmd, ELreal, 300.522649, 300.522672, 53.058198, 53.058162
[2024/10/07-14:03:12.229] AZcmd, AZreal, ELcmd, ELreal, 300.522708, 300.522733, 53.057261, 53.057189
[2024/10/07-14:03:12.549] AZcmd, AZreal, ELcmd, ELreal, 300.522766, 300.522794, 53.056340, 53.056277
[2024/10/07-14:03:12.868] AZcmd, AZreal, ELcmd, ELreal, 300.522825, 300.522855, 53.055409, 53.055334
[2024/10/07-14:03:13.189] AZcmd, AZreal, ELcmd, ELreal, 300.522884, 300.522885, 53.054483, 53.054392
[2024/10/07-14:03:13.508] AZcmd, AZreal, ELcmd, ELreal, 300.522943, 300.522946, 53.053550, 53.053480
[2024/10/07-14:03:13.829] AZcmd, AZreal, ELcmd, ELreal, 300.523002, 300.523007, 53.052623, 53.052537
[2024/10/07-14:03:14.148] AZcmd, AZreal, ELcmd, ELreal, 300.523061, 300.523068, 53.051689, 53.051625
[2024/10/07-14:03:14.469] AZcmd, AZreal, ELcmd, ELreal, 300.523119, 300.523128, 53.050762, 53.050682
[2024/10/07-14:03:14.788] AZcmd, AZreal, ELcmd, ELreal, 300.523179, 300.523189, 53.049829, 53.049740
[2024/10/07-14:03:15.109] AZcmd, AZreal, ELcmd, ELreal, 300.523237, 300.523250, 53.048904, 53.048828
[2024/10/07-14:03:15.432] AZcmd, AZreal, ELcmd, ELreal, 304.907577, 301.141027, 54.278697, 53.767338
[2024/10/07-14:03:15.751] AZcmd, AZreal, ELcmd, ELreal, 304.907506, 302.096912, 54.277802, 54.277875
[2024/10/07-14:03:16.068] AZcmd, AZreal, ELcmd, ELreal, 304.907435, 303.057328, 54.276921, 54.276932
[2024/10/07-14:03:16.389] AZcmd, AZreal, ELcmd, ELreal, 304.907364, 304.017865, 54.276044, 54.276051
[2024/10/07-14:03:16.709] AZcmd, AZreal, ELcmd, ELreal, 304.907293, 304.901780, 54.275155, 54.275169
[2024/10/07-14:03:17.030] AZcmd, AZreal, ELcmd, ELreal, 304.907222, 304.907284, 54.274269, 54.274287
[2024/10/07-14:03:17.348] AZcmd, AZreal, ELcmd, ELreal, 304.907150, 304.907284, 54.273381, 54.273405
